date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:34	135317/135317	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Apr%202016%2000:48:13%20GMT	https://online.citi.com/US/JPS/portal/Index.do	C:/My%20Web%20Sites/Citibank/online.citi.com/US/JPS/portal/Index.html	(from )
17:48:35	91/91	---M-Z	200	added ('OK')	text/plain	date:Fri,%2009%20Oct%202009%2021:32:45%20GMT	https://online.citi.com/robots.txt		(from )
17:48:35	1052/1052	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Mar%202016%2003:49:41%20GMT	https://online.citi.com/JFP/amw/amw.js	C:/My%20Web%20Sites/Citibank/online.citi.com/JFP/amw/amw.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:35	324722/324722	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2019%20Apr%202015%2002:59:57%20GMT	https://online.citi.com/CBOL/portal/layout/js/jquery-combined.min.js	C:/My%20Web%20Sites/Citibank/online.citi.com/CBOL/portal/layout/js/jquery-combined.min.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:35	89038/89038	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Mar%202016%2008:48:22%20GMT	https://online.citi.com/JFP/js/widgets/jfp.branding.js	C:/My%20Web%20Sites/Citibank/online.citi.com/JFP/js/widgets/jfp.branding.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:35	1287/1287	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2011%20Nov%202012%2008:15:30%20GMT	https://online.citi.com/JPS/portal/js/cssPref.js	C:/My%20Web%20Sites/Citibank/online.citi.com/JPS/portal/js/cssPref.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:36	357485/357485	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Mar%202016%2008:48:48%20GMT	https://online.citi.com/JFP/js/widgets/jfp.widgets.js	C:/My%20Web%20Sites/Citibank/online.citi.com/JFP/js/widgets/jfp.widgets.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:36	4998/4998	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Mar%202016%2003:51:39%20GMT	https://online.citi.com/JPS/portal/js/SitecatCampaigns.js	C:/My%20Web%20Sites/Citibank/online.citi.com/JPS/portal/js/SitecatCampaigns.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:36	275303/275303	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Mar%202016%2003:51:39%20GMT	https://online.citi.com/GFC/common/js/citi_Common.js	C:/My%20Web%20Sites/Citibank/online.citi.com/GFC/common/js/citi_Common.js	(from https://online.citi.com/US/JPS/portal/Index.do)
17:48:36	21340/21340	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Mar%202016%2003:47:21%20GMT	https://online.citi.com/JPS/portal/js/JFPNav.js	C:/My%20Web%20Sites/Citibank/online.citi.com/JPS/portal/js/JFPNav.js	(from https://online.citi.com/US/JPS/portal/Index.do)
